"id_diretor";"nome_diretor"
1;"Frank Darabont"
2;"Francis Ford Coppola"
3;"Christopher Nolan"
4;"Francis Ford Coppola"
5;"Sidney Lumet"
6;"Steven Spielberg"
7;"Peter Jackson"
8;"Quentin Tarantino"
9;"Peter Jackson"
10;"Sergio Leone"
11;"Robert Zemeckis"
12;"David Fincher"
13;"Peter Jackson"
14;"Christopher Nolan"
15;"Irvin Kershner"
16;"Lilly Wachowski"
17;"Martin Scorsese"
18;"Milos Forman"
19;"David Fincher"
20;"Akira Kurosawa"
21;"Frank Capra"
22;"Jonathan Demme"
23;"Kátia Lund(co-director)"
24;"Steven Spielberg"
25;"Christopher Nolan"
26;"Roberto Benigni"
27;"Frank Darabont"
28;"George Lucas"
29;"James Cameron"
30;"Robert Zemeckis"
31;"Hayao Miyazaki"
32;"Roman Polanski"
33;"Alfred Hitchcock"
34;"Bong Joon Ho"
35;"Luc Besson"
36;"Rob Minkoff"
37;"Ridley Scott"
38;"Tony Kaye"
39;"Martin Scorsese"
40;"Bryan Singer"
41;"Christopher Nolan"
42;"Damien Chazelle"
43;"Michael Curtiz"
44;"Isao Takahata"
45;"Masaki Kobayashi"
46;"Éric Toledano"
47;"Charles Chaplin"
48;"Sergio Leone"
49;"Alfred Hitchcock"
50;"Giuseppe Tornatore"
51;"Ridley Scott"
52;"Charles Chaplin"
53;"Francis Ford Coppola"
54;"Christopher Nolan"
55;"Quentin Tarantino"
56;"Steven Spielberg"
57;"Andrew Stanton"
58;"Florian Henckel von Donnersmarck"
59;"Billy Wilder"
60;"Stanley Kubrick"
61;"Stanley Kubrick"
62;"Charles Chaplin"
63;"Joe Russo"
64;"Billy Wilder"
65;"James Cameron"
66;"Peter Ramsey"
67;"Sam Mendes"
68;"Stanley Kubrick"
69;"Christopher Nolan"
70;"Park Chan-wook"
71;"Quentin Tarantino"
72;"Milos Forman"
73;"Adrian Molina(co-directed by)"
74;"John Lasseter"
75;"Todd Phillips"
76;"Mel Gibson"
77;"Wolfgang Petersen"
78;"Joe Russo"
79;"Hayao Miyazaki"
80;"Sergio Leone"
81;"Gus Van Sant"
82;"Makoto Shinkai"
83;"Rajkumar Hirani"
84;"Gene Kelly"
85;"Darren Aronofsky"
86;"Lee Unkrich"
87;"Akira Kurosawa"
88;"Nadine Labaki"
89;"Richard Marquand"
90;"Michel Gondry"
91;"Stanley Kubrick"
92;"Quentin Tarantino"
93;"Elem Klimov"
94;"Thomas Vinterberg"
95;"Orson Welles"
96;"Fritz Lang"
97;"David Lean"
98;"Alfred Hitchcock"
99;"Alfred Hitchcock"
100;"Akira Kurosawa"
101;"Jean-Pierre Jeunet"
102;"Billy Wilder"
103;"Stanley Kubrick"
104;"Billy Wilder"
