"id_escritor";"nome_escritor"
1;"Stephen King,Frank Darabont"
2;"Mario Puzo,Francis Ford Coppola"
3;"Jonathan Nolan,Christopher Nolan,David S. Goyer"
4;"Francis Ford Coppola,Mario Puzo"
5;"Reginald Rose"
6;"Thomas Keneally,Steven Zaillian"
7;"J.R.R. Tolkien,Fran Walsh,Philippa Boyens"
8;"Quentin Tarantino,Roger Avary"
9;"J.R.R. Tolkien,Fran Walsh,Philippa Boyens"
10;"Luciano Vincenzoni,Sergio Leone,Agenore Incrocci"
11;"Winston Groom,Eric Roth"
12;"Chuck Palahniuk,Jim Uhls"
13;"J.R.R. Tolkien,Fran Walsh,Philippa Boyens"
14;"Christopher Nolan"
15;"Leigh Brackett,Lawrence Kasdan,George Lucas"
16;"Lilly Wachowski,Lana Wachowski"
17;"Nicholas Pileggi,Martin Scorsese"
18;"Lawrence Hauben,Bo Goldman,Ken Kesey"
19;"Andrew Kevin Walker"
20;"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni"
21;"Frances Goodrich,Albert Hackett,Frank Capra"
22;"Thomas Harris,Ted Tally"
23;"Paulo Lins,Br�ulio Mantovani"
24;"Robert Rodat"
25;"Jonathan Nolan,Christopher Nolan"
26;"Vincenzo Cerami,Roberto Benigni"
27;"Stephen King,Frank Darabont"
28;"George Lucas"
29;"James Cameron,William Wisher"
30;"Robert Zemeckis,Bob Gale"
31;"Hayao Miyazaki"
32;"Ronald Harwood,Wladyslaw Szpilman"
33;"Joseph Stefano,Robert Bloch"
34;"Bong Joon Ho,Han Jin-won"
35;"Luc Besson"
36;"Irene Mecchi,Jonathan Roberts,Linda Woolverton"
37;"David Franzoni,John Logan,William Nicholson"
38;"David McKenna"
39;"William Monahan,Alan Mak,Felix Chong"
40;"Christopher McQuarrie"
41;"Jonathan Nolan,Christopher Nolan,Christopher Priest"
42;"Damien Chazelle"
43;"Julius J. Epstein,Philip G. Epstein,Howard Koch"
44;"Akiyuki Nosaka,Isao Takahata"
45;"Yasuhiko Takiguchi,Shinobu Hashimoto"
46;"Olivier Nakache,�ric Toledano,Philippe Pozzo di Borgo"
47;"Charles Chaplin"
48;"Sergio Donati,Sergio Leone,Dario Argento"
49;"John Michael Hayes,Cornell Woolrich"
50;"Giuseppe Tornatore,Vanna Paoli"
51;"Dan O'Bannon,Ronald Shusett"
52;"Charles Chaplin,Harry Carr,Harry Crocker"
53;"John Milius,Francis Ford Coppola,Michael Herr"
54;"Christopher Nolan,Jonathan Nolan"
55;"Quentin Tarantino"
56;"Lawrence Kasdan,George Lucas,Philip Kaufman"
57;"Andrew Stanton,Pete Docter,Jim Reardon"
58;"Florian Henckel von Donnersmarck"
59;"Charles Brackett,Billy Wilder,D.M. Marshman Jr."
60;"Stanley Kubrick,Calder Willingham,Jim Thompson"
61;"Stephen King,Stanley Kubrick,Diane Johnson"
62;"Charles Chaplin"
63;"Christopher Markus,Stephen McFeely,Stan Lee"
64;"Agatha Christie,Billy Wilder,Harry Kurnitz"
65;"James Cameron,David Giler,Walter Hill"
66;"Phil Lord,Rodney Rothman"
67;"Alan Ball"
68;"Stanley Kubrick,Terry Southern,Peter George"
69;"Jonathan Nolan,Christopher Nolan,David S. Goyer"
70;"Garon Tsuchiya,Nobuaki Minegishi,Park Chan-wook"
71;"Quentin Tarantino"
72;"Peter Shaffer,Zdenek Mahler"
73;"Lee Unkrich,Jason Katz,Matthew Aldrich"
74;"John Lasseter,Pete Docter,Andrew Stanton"
75;"Todd Phillips,Scott Silver,Bob Kane"
76;"Randall Wallace"
77;"Wolfgang Petersen,Lothar G. Buchheim"
78;"Christopher Markus,Stephen McFeely,Stan Lee"
79;"Hayao Miyazaki,Neil Gaiman"
80;"Harry Grey,Leonardo Benvenuti,Piero De Bernardi"
81;"Matt Damon,Ben Affleck"
82;"Makoto Shinkai,Clark Cheng"
83;"Rajkumar Hirani,Abhijat Joshi,Vidhu Vinod Chopra"
84;"Betty Comden,Adolph Green"
85;"Hubert Selby Jr.,Darren Aronofsky"
86;"John Lasseter,Andrew Stanton,Lee Unkrich"
87;"Hideo Oguni,Ry�z� Kikushima,Eijir� Hisaita"
88;"Nadine Labaki,Jihad Hojeily,Michelle Keserwany"
89;"Lawrence Kasdan,George Lucas"
90;"Charlie Kaufman,Michel Gondry,Pierre Bismuth"
91;"Stanley Kubrick,Arthur C. Clarke"
92;"Quentin Tarantino,Roger Avary"
93;"Ales Adamovich,Elem Klimov"
94;"Thomas Vinterberg,Tobias Lindholm"
95;"Herman J. Mankiewicz,Orson Welles,John Houseman"
96;"Thea von Harbou,Fritz Lang,Egon Jacobsohn"
97;"Robert Bolt,Michael Wilson"
98;"Ernest Lehman"
99;"Alec Coppel,Samuel A. Taylor,Pierre Boileau"
100;"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni"
101;"Guillaume Laurant,Jean-Pierre Jeunet"
102;"Billy Wilder,I.A.L. Diamond"
103;"Stanley Kubrick,Anthony Burgess"
104;"Billy Wilder,Raymond Chandler,James M. Cain"
105;"Stanley Kubrick,Michael Herr,Gustav Hasford"
106;"Jim Cash,Jack Epps Jr.,Peter Craig"
107;"Oliver Stone,Howard Hawks,Ben Hecht"
108;"Lin-Manuel Miranda,Ron Chernow"
109;"Denis Villeneuve,Wajdi Mouawad,Val�rie Beaugrand-Champagne"
110;"Harper Lee,Horton Foote"
111;"Michael Mann"
112;"David S. Ward"
113;"Pete Docter,Bob Peterson,Tom McCarthy"
114;"Asghar Farhadi"
115;"Thea von Harbou,Fritz Lang"
116;"Paul Schrader"
117;"James Ellroy,Brian Helgeland,Curtis Hanson"
118;"Roderick Thorp,Jeb Stuart,Steven E. de Souza"
119;"Guy Ritchie"
120;"Jeffrey Boam,George Lucas,Menno Meyjes"
121;"Cesare Zavattini,Luigi Bartolini,Oreste Biancoli"
122;"Amole Gupte"
123;"Sam Mendes,Krysty Wilson-Cairns"
124;"Bernd Eichinger,Joachim Fest,Traudl Junge"
125;"Piyush Gupta,Shreyas Jain,Nikhil Mehrotra"
126;"Sergio Leone,Fulvio Morsella,Luciano Vincenzoni"
127;"Bob Kane,David S. Goyer,Christopher Nolan"
128;"Charles Chaplin"
129;"Billy Wilder,I.A.L. Diamond,Robert Thoeren"
130;"Christopher Hampton,Florian Zeller"
131;"Joseph L. Mankiewicz,Mary Orr"
132;"Terence Winter,Jordan Belfort"
133;"Nick Vallelonga,Brian Hayes Currie,Peter Farrelly"
134;"Abby Mann,Montgomery Clift"
135;"Nicholas Pileggi,Martin Scorsese"
136;"Akira Kurosawa,Hideo Oguni,Masato Ide"
137;"Guillermo del Toro"
138;"Andrew Niccol"
139;"Paul Thomas Anderson,Upton Sinclair"
140;"David Webb Peoples"
141;"M. Night Shyamalan"
142;"Laeta Kalogridis,Dennis Lehane"
143;"Akiva Goldsman,Sylvia Nasar"
144;"Michael Crichton,David Koepp"
145;"Akira Kurosawa,Ry�z� Kikushima"
146;"John Huston,B. Traven"
147;"Graham Chapman,John Cleese,Eric Idle"
148;"Paul Brickhill,James Clavell,W.R. Burnett"
149;"Joel Coen,Ethan Coen,Cormac McCarthy"
150;"Chris McKenna,Erik Sommers,Stan Lee"
151;"Quentin Tarantino,Uma Thurman"
152;"Ry�nosuke Akutagawa,Akira Kurosawa,Shinobu Hashimoto"
153;"Bill Lancaster,John W. Campbell Jr."
154;"Andrew Stanton,Bob Peterson,David Reynolds"
155;"Christopher De Vore,Eric Bergren,David Lynch"
156;"Robert Towne,Roman Polanski"
157;"Jake LaMotta,Joseph Carter,Peter Savage"
158;"Lilly Wachowski,Lana Wachowski,David Lloyd"
159;"Margaret Mitchell,Sidney Howard,Oliver H.P. Garrett"
160;"Guy Ritchie"
161;"Pete Docter,Ronnie Del Carmen,Meg LeFauve"
162;"Frederick Knott"
163;"Eduardo Sacheri,Juan Jos� Campanella"
164;"Hayao Miyazaki,Diana Wynne Jones"
165;"Martin McDonagh"
166;"Pierre Boulle,Carl Foreman,Michael Wilson"
167;"Irvine Welsh,John Hodge"
168;"Aaron Guzikowski"
169;"Gavin O'Connor,Anthony Tambakis,Cliff Dorfman"
170;"Ethan Coen,Joel Coen"
171;"Nick Schenk,Dave Johannson"
172;"Hayao Miyazaki"
173;"Jeff Nathanson,Frank Abagnale Jr.,Stan Redding"
174;"Paul Haggis,F.X. Toole"
175;"Majid Majidi"
176;"Hampton Fancher,David Webb Peoples,Philip K. Dick"
177;"Charles Chaplin"
178;"Richard Linklater,Kim Krizan"
179;"John Ridley,Solomon Northup"
180;"Sergio Pablos,Jim Mahoney,Zach Lewis"
181;"Steve Kloves,J.K. Rowling"
182;"Budd Schulberg,Malcolm Johnson,Robert Siodmak"
183;"Lew Wallace,Karl Tunberg,Gore Vidal"
184;"Gillian Flynn"
185;"Stefan Zweig,Wes Anderson,Hugo Guinness"
186;"Ingmar Bergman"
187;"Buster Keaton,Clyde Bruckman,Al Boasberg"
188;"Graham Greene,Orson Welles,Alexander Korda"
189;"Gerry Conlon,Terry George,Jim Sheridan"
190;"Michael Cimino,Deric Washburn,Louis Garfinkle"
191;"Stanley Kubrick,William Makepeace Thackeray"
192;"Robert Schenkkan,Andrew Knight"
193;"Georges Arnaud,Henri-Georges Clouzot,J�r�me G�ronimi"
194;"Bong Joon Ho,Kwang-rim Kim,Sung-bo Shim"
195;"Jean C. Havez,Joseph A. Mitchell,Clyde Bruckman"
196;"Germ�n Servidio,Dami�n Szifron"
197;"Sidney Buchman,Lewis R. Foster,Myles Connolly"
198;"George Miller,Brendan McCarthy,Nick Lathouris"
199;"Ingmar Bergman"
200;"Adam Elliot"
201;"Will Davies,Dean DeBlois,Chris Sanders"
202;"Emma Donoghue"
203;"Pete Docter,Jill Culton,Jeff Pidgeon"
204;"Peter Benchley,Carl Gottlieb"
205;"Tom Schulman"
206;"Ethan Coen,Joel Coen"
207;"K�go Noda,Yasujir� Ozu"
208;"Joseph Delteil,Carl Theodor Dreyer"
209;"Keir Pearson,Terry George"
210;"Jez Butterworth,John-Henry Butterworth,Jason Keller"
211;"Sylvester Stallone"
212;"Oliver Stone"
213;"Brad Bird,Jan Pinkava,Jim Capobianco"
214;"Josh Singer,Tom McCarthy"
215;"James Cameron,Gale Anne Hurd,William Wisher"
216;"James Mangold,Scott Frank,Michael Green"
217;"Stephen King,Raynold Gideon,Bruce A. Evans"
218;"Peter Morgan"
219;"Paddy Chayefsky"
220;"Sean Penn,Jon Krakauer"
221;"Richard Linklater,Julie Delpy,Ethan Hawke"
222;"Noel Langley,Florence Ryerson,Edgar Allan Woolf"
223;"Bibhutibhushan Bandyopadhyay,Satyajit Ray"
224;"Danny Rubin,Harold Ramis"
225;"Robert E. Sherwood,MacKinlay Kantor"
226;"William Peter Blatty"
227;"Brad Bird"
228;"Melchior Lengyel,Edwin Justus Mayer,Ernst Lubitsch"
229;"Mathieu Kassovitz"
230;"Franco Solinas,Gillo Pontecorvo"
231;"Ted Elliott,Terry Rossio,Stuart Beattie"
232;"Stephen P. Lindsey,Kaneto Shind�"
233;"Nunnally Johnson,John Steinbeck"
234;"T.J. Gnanavel,Rajendra Sapre"
235;"�agan Irmak"
236;"Guillermo Arriaga"
237;"Daphne Du Maurier,Robert E. Sherwood,Joan Harrison"
238;"Donn Pearce,Frank Pierson,Hal Dresner"
239;"Sarah Waters,Chung Seo-kyung,Park Chan-wook"
240;"Fran�ois Truffaut,Marcel Moussy"
241;"Georg Hurdalek,Howard Lindsay,Russel Crouse"
242;"Robert Riskin,Samuel Hopkins Adams"
243;"Ingmar Bergman"
244;"Graham Chapman,John Cleese,Terry Gilliam"
245;"Tim McCanlies,Brad Bird,Ted Hughes"
246;"Tate Taylor,Kathryn Stockett"
247;"Akira Kurosawa,Yuriy Nagibin,Vladimir Arsenev"
248;"Ron Clements,John Musker,Ted Elliott"
249;"John Briley"
250;"Michael Blake"
