"id_filme";"nome_titulo_filme";"ano_lancamento_filme";"indicado_posicao_ranking_filme";"classificacao_indicativa";"duracao";"orcamento";"bilheteria";"slogan"
1;"The Shawshank Redemption";"1994";1;"R";"2h 22m";"25000000";"28884504";"Fear can hold you prisoner. Hope can set you free."
2;"The Godfather";"1972";2;"R";"2h 55m";"6000000";"250341816";"An offer you can't refuse."
3;"The Dark Knight";"2008";3;"PG-13";"2h 32m";"185000000";"1006234167";"Why So Serious?"
4;"The Godfather Part II";"1974";4;"R";"3h 22m";"13000000";"47961919";"All the power on earth can't change destiny."
5;"12 Angry Men";"1957";5;"Approved";"1h 36m";"350000";"955";"Life Is In Their Hands -- Death Is On Their Minds!"
6;"Schindler's List";"1993";6;"R";"3h 15m";"22000000";"322161245";"Whoever saves one life, saves the world entire."
7;"The Lord of the Rings: The Return of the King";"2003";7;"PG-13";"3h 21m";"94000000";"1146457748";"The eye of the enemy is moving."
8;"Pulp Fiction";"1994";8;"R";"2h 34m";"8000000";"213928762";"Girls like me don't make invitations like this to just anyone!"
9;"The Lord of the Rings: The Fellowship of the Ring";"2001";9;"PG-13";"2h 58m";"93000000";"898204420";"The Legend Comes to Life"
10;"The Good, the Bad and the Ugly";"1966";10;"Approved";"2h 58m";"1200000";"25253887";"They formed an alliance of hate to steal a fortune in dead man's gold"
11;"Forrest Gump";"1994";11;"PG-13";"2h 22m";"55000000";"678226465";"The story of a lifetime."
12;"Fight Club";"1999";12;"R";"2h 19m";"63000000";"101209702";"How much can you know about yourself if you've never been in a fight?"
13;"The Lord of the Rings: The Two Towers";"2002";13;"PG-13";"2h 59m";"94000000";"947944270";"A New Power Is Rising."
14;"Inception";"2010";14;"PG-13";"2h 28m";"160000000";"836848102";"Your mind is the scene of the crime"
15;"Star Wars: Episode V - The Empire Strikes Back";"1980";15;"PG";"2h 4m";"18000000";"538375067";"The Adventure Continues..."
16;"The Matrix";"1999";16;"R";"2h 16m";"63000000";"467222728";"Free your mind"
17;"Goodfellas";"1990";17;"R";"2h 25m";"25000000";"47036784";"""As far back as I can remember, I've always wanted to be a gangster."" -- Henry Hill, Brooklyn, N.Y. 1955."
18;"One Flew Over the Cuckoo's Nest";"1975";18;"18+";"2h 13m";"3000000";"109114817";"If he's crazy, what does that make you?"
19;"Se7en";"1995";19;"R";"2h 7m";"33000000";"327333559";"Long is the way, and hard, that out of hell leads up to light."
20;"Seven Samurai";"1954";20;"Not Rated";"3h 27m";"125000000";"346258";"Will Take Its Place With the Seven Greatest Films of All Time!"
